GATA2	FLT3	CD99	GATA1	MME	LTB	MPO
Data_38	-0.287066468679762	0.270990614327312	-0.000342633286322095	-0.340453505211386	-0.482524498934012	0.744348053595348	-0.106567115982433
Data_39	-0.230935222859972	0.671194416426391	0.452751099678122	-0.581996472159406	0.0984490169214188	0.694842214911963	-0.215086224345401
Data_40	-0.609833844898492	1.11070799908434	0.427662081107581	-0.635082255225613	-0.482524498934012	0.0337361333506495	-0.357910157724808
Data_41	-0.643714061874171	0.995976965733913	0.462172022112563	-0.459901369139205	0.43542202021465	-0.687952701456581	-0.0180978315680762
Data_42	-0.383608444355515	0.5694464613609	0.801353583793601	-0.577194952913432	-0.482524498934012	0.963919936320897	-0.357910157724808
Data_43	-0.65953862124044	1.23480617553513	0.968144505077225	-0.391839236759702	-0.482524498934012	-0.866565664616072	-0.283636667668933
Data_44	-0.534456820776123	0.625279115652176	0.454829751433403	-0.635082255225613	-0.482524498934012	0.63514780034331	-0.337773151167751
Data_45	-0.456958816464503	0.239893893565159	0.385005025114343	-0.635082255225613	0.80795795049141	0.448407770846308	-0.207743127595353
Data_46	-1.08966691349979	-0.0274746804178902	0.595084896432929	-0.635082255225613	-0.482524498934012	-0.577873734142065	-0.357910157724808
Data_47	-0.15525437606922	0.429343696431314	0.236102038338592	-0.53357084061957	-0.482524498934012	-0.0116161964379207	-0.156605555506453
Data_48	-0.958777413215351	0.159621967204399	0.388872741410043	-0.635082255225613	-0.0733697963280438	0.566402213540205	-0.311631536742152
Data_49	-0.476517179889788	0.235592617124163	0.685898212350015	-0.635082255225613	-0.482524498934012	0.0593538760210524	-0.357910157724808
Data_50	-1.14685627231141	0.49187609660817	0.82320401470332	-0.635082255225613	-0.482524498934012	-0.0775986236096157	-0.357910157724808
Data_51	-0.688020588285458	-0.0485009817106075	0.148769986785322	-0.635082255225613	-0.137059788416286	0.535962598801057	-0.266178933234985
Data_52	-0.450549452875609	0.93215081963408	0.782571928775018	-0.635082255225613	-0.312645055372854	0.225047664242678	-0.24089990389308
Data_53	-0.604605450119965	0.263894807804506	0.456600280711185	-0.635082255225613	-0.482524498934012	0.0160621367937418	-0.331654706052807
Data_54	-0.426674909482042	0.472283466045279	0.389756964583729	-0.435028407211325	-0.128967295029478	0.766816296205137	0.0156842023643172
Data_55	-0.703528217585192	0.959399322327863	1.00531080001765	-0.635082255225613	-0.482524498934012	-0.44413282412492	-0.357910157724808
