Iteration	Predictor	CV	Log.Likelihood
1	LYZ	0.0327606122087673	-12.5605125606082
2	MBNL1	0.025188734793674	-2.37420595173207
3	BID	0.0203839895095441	-1.32436141819682e-08
4	S100A9	1.2483822906139e-10	-7.33339769378703e-09
5	TUBB4B	0.00888011470072105	-4.69841533450504e-09
6	POLR2F	0.00999956442065904	-3.64410047246693e-09
7	TBC1D10C	0.0100056964643665	-2.71603828685656e-09
8	RPLP2	0.00995893244433376	-2.09322148722411e-09
9	PSMB2	5.67807518785633e-05	-1.43791012533607e-09
10	EWSR1	1.48859228632816e-05	-1.35289390892835e-09
11	CRIP1	0.00986775714261983	-1.33497746279978e-09
12	PTGER4	0.00992930284738687	-1.30406308059369e-09
13	SSR1	0.0100096300633197	-1.28028066008556e-09
14	NFKBIA	0.0163469247986463	-1.2679606261879e-09
15	S100A11	0.0296688180376533	-1.2487786368335e-09
16	CBX3	0.0200000013888943	-1.19390730706431e-09
17	CWC15	0.00595004694718268	-1.13226306172872e-09
18	LINC00493	0.0134093456675042	-1.04968911395912e-09
19	CLPP	0.00742865799174807	-1.0163541124988e-09
20	RSBN1L	8.0500247127919e-07	-9.99560656966785e-10
21	WDR54	0.0229884038461007	-9.84141657540893e-10
22	PCED1B	0.0152007156059402	-9.73950476298671e-10
23	NFATC3	1.19220521105838e-11	-9.66622893306732e-10
24	ARRDC3	3.68816359172716e-11	-9.57099178147733e-10
25	GPX1	0.0102638387464267	-9.41073219794361e-10
26	TMEM256	0.01821128531045	-9.32867783456273e-10
27	CCR7	0.0399778598235107	-9.07589670496833e-10
28	CCT2	0.0034535807166769	-9.02824815315434e-10
29	ABT1	0.034264482014753	-8.98415564569164e-10
30	RPN2	0.0155921689641074	-8.97052432738306e-10
31	PASK	0.0126454908790558	-8.90774232550741e-10
32	GYPC	0.0360094383839116	-8.82911744105675e-10
33	RSL1D1	0.0281140898991309	-8.47855230827471e-10
34	HSPA5	0.0497427148278246	-8.02670708000173e-10
35	TNFAIP3	0.0041832460218506	-7.52328755132429e-10
36	TNFSF10	0.011206296385069	-7.35384864384903e-10
37	LBH	0.011683002082662	-7.18252013678738e-10
38	OCIAD1	0.00755135255256977	-7.128126980103e-10
39	HNRNPUL1	0.020722615904297	-7.07608860645581e-10
40	FKBP11	0.059619655961998	-7.05632774682654e-10
41	HMGB2	0.0536280037230748	-7.02472524840834e-10
42	ERP44	0.0668619801014649	-6.93440194395389e-10
43	SYF2	0.103604544544883	-6.20275719868415e-10
44	LITAF	0.0796880611449451	-5.85381188138806e-10
45	MT2A	0.0993290702647933	-5.42213718515598e-10
46	EVI2A	0.0295714648594813	-4.93880603202713e-10
47	PSMB10	0.0440802205756359	-4.70565475585132e-10
48	AES	0.0471452816212542	-4.57767379662825e-10
49	TSPO	0.00339169865737941	-4.42002101683753e-10
50	COX7B	0.0105887396225686	-4.35393943215982e-10
